Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
c7a.large,c7a,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,2,"1,2",1,1,3.7,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.19464 USD per Hour,0.10264 USD per Hour,0.15894 USD per Hour,0.13144 USD per Hour,0.10614 USD per Hour,false,false
m5ad.large,m5ad,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.2,8,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,true,650,3600,81.25,2880,16000,360,0.195 USD per Hour,0.103 USD per Hour,0.159 USD per Hour,0.132 USD per Hour,0.107 USD per Hour,false,false
c3.large,c3,large,"us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,false,xen,2,"i386, x86_64",1,1,2,"1,2",2.8,3.75,32,true,ssd,2,supported,unsupported,Moderate,unsupported,3,10,10,true,"cluster, partition, spread",0,0,true,unsupported,"ebs, instance-store",true,true,-,false,0,0,0,0,0,0,0.188 USD per Hour,0.105 USD per Hour,0.205 USD per Hour,0.134 USD per Hour,-,false,false
m8i.large,m8i,large,"us-east-1b, us-east-1c, us-east-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.9,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,20,20,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.19784 USD per Hour,0.10584 USD per Hour,0.16214 USD per Hour,0.13464 USD per Hour,0.10934 USD per Hour,false,true
m7gd.large,m7gd,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.6,8,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.1068 USD per Hour,0.1631 USD per Hour,0.1356 USD per Hour,0.1103 USD per Hour,false,false
r7g.large,r7g,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.6,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.1071 USD per Hour,0.1634 USD per Hour,0.1359 USD per Hour,0.1106 USD per Hour,false,false
c8a.large,c8a,large,"us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,2,"1,2",1,1,4.5,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,20,20,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.19977 USD per Hour,0.10777 USD per Hour,0.16407 USD per Hour,0.13657 USD per Hour,0.11127 USD per Hour,false,true
c5n.large,c5n,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,5.3,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,650,4000,81.25,4750,20000,593.75,0.2 USD per Hour,0.108 USD per Hour,0.164 USD per Hour,0.137 USD per Hour,0.112 USD per Hour,false,false
r5a.large,r5a,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,-,true,-,true,650,3600,81.25,2880,16000,360,0.205 USD per Hour,0.113 USD per Hour,0.169 USD per Hour,0.142 USD per Hour,0.117 USD per Hour,false,false
m5d.large,m5d,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.1,8,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,650,3600,81.25,4750,18750,593.75,0.205 USD per Hour,0.113 USD per Hour,0.169 USD per Hour,0.142 USD per Hour,0.117 USD per Hour,false,false
